Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,150,0.12,512,0.5,1.526149645447731,0.9205829135899066
1,150,0.12,512,0.5,1.5407925248146057,0.9202405985622768
2,150,0.12,512,0.5,1.5344602577388287,0.9240060638662038
3,150,0.12,512,0.5,1.4992112964391708,0.9143234387989633
4,150,0.12,512,0.5,1.5264929756522179,0.9141278302117464
