Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,10,0.01,256,0.5,1.454967875033617,0.8106065955794084
1,10,0.01,256,0.5,1.4466719962656498,0.9029729538874374
2,10,0.01,256,0.5,1.460921660065651,0.9074217922463103
3,10,0.01,256,0.5,1.442258294671774,0.8683708777628698
4,10,0.01,256,0.5,1.43193344399333,0.9032554198149848
