Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,50,0.01,256,0.75,1.9708980061113834,0.622551298226974
1,50,0.01,256,0.75,2.023632999509573,0.6090709874493658
2,50,0.01,256,0.75,2.0280822068452835,0.6412112358058304
3,50,0.01,256,0.75,2.0363868549466133,0.6394605460944527
4,50,0.01,256,0.75,2.005820032209158,0.616955128011639
