Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,2,0.01,128,1.0,2.3115024343132973,0.7247016453640279
1,2,0.01,128,1.0,2.135654017329216,0.6884047736741755
2,2,0.01,128,1.0,2.182020615786314,0.8412541487183108
3,2,0.01,128,1.0,2.1791821606457233,0.7153802697549609
4,2,0.01,128,1.0,2.267038431018591,0.6658428077113199
