Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,100,0.01,512,1.0,2.165297780185938,0.9378574959395524
1,100,0.01,512,1.0,2.172511398792267,0.936868865193136
2,100,0.01,512,1.0,2.163126926869154,0.9238048160440647
3,100,0.01,512,1.0,2.1692836098372936,0.9338323564720007
4,100,0.01,512,1.0,2.1839145682752132,0.9213332391780241
