Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,70,0.01,128,1.0,4.904331564903259,0.6077790991795905
1,70,0.01,128,1.0,4.924182925373316,0.6158201981297804
2,70,0.01,128,1.0,4.978221703320742,0.626312262675899
3,70,0.01,128,1.0,4.767182104289532,0.6256300973745691
4,70,0.01,128,1.0,4.40921451151371,0.601029888499176
