Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,100,0.01,256,1.0,3.1841412782669067,0.6198347107438016
1,100,0.01,256,1.0,3.1874594502151012,0.6344559882643421
2,100,0.01,256,1.0,3.157508447766304,0.613532227782842
3,100,0.01,256,1.0,3.199058163911104,0.6075859196252317
4,100,0.01,256,1.0,3.2087058648467064,0.6263182995369727
