Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,10,0.01,256,0.5,1.8727776110172272,0.8981857303535625
1,10,0.01,256,0.5,1.8487636856734753,0.8779891437234095
2,10,0.01,256,0.5,1.841857187449932,0.9048364223189398
3,10,0.01,256,0.5,1.873413234949112,0.8640031297373953
4,10,0.01,256,0.5,1.912790048867464,0.8465939654750844
