Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,70,0.01,512,1.0,3.258946243673563,0.9320260159420999
1,70,0.01,512,1.0,3.213924340903759,0.9191647513325835
2,70,0.01,512,1.0,3.3593815490603447,0.9158394053498948
3,70,0.01,512,1.0,3.2578612491488457,0.9157416010562864
4,70,0.01,512,1.0,3.4698902405798435,0.9217076629664043
