Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,100,0.01,256,0.5,3.1173228472471237,0.9319963279429418
1,100,0.01,256,0.5,2.9805392175912857,0.9163194689640562
2,100,0.01,256,0.5,2.9350880421698093,0.9211213897323637
3,100,0.01,256,0.5,2.951109252870083,0.9017018572134736
4,100,0.01,256,0.5,2.948496837168932,0.9210507732504767
