Fold,n_estimators,contamination,max_samples,max_features,Execution_Duration,AUC_ROC
0,40,0.01,256,1.0,2.555816888809204,0.9955576947355133
1,40,0.01,256,1.0,2.4030016250908375,0.9935219669233684
2,40,0.01,256,1.0,2.391195971518755,0.9963546269410429
3,40,0.01,256,1.0,2.5427704378962517,0.9959601060472163
4,40,0.01,256,1.0,2.5730145201087,0.9952578588562051
